country,activeDuty,paramilitary,reserves,total,population2022
China,2185000,660000,1170000,4015000,1448471.4
India,1455550,2526950,1155000,5137500,1406631.776
United States,1388100,0,844950,2233050,334805.269
North Korea,1280000,5889000,600000,7769000,25990.679
Russia,1014000,554000,2000000,3568000,145805.947
Pakistan,654000,291000,550000,1495000,229488.994
Iran,610000,40000,350000,1000000,86022.837
South Korea,599000,3013500,3100000,6712500,51329.899
Vietnam,482000,5040000,5000000,10522000,98953.541
Egypt,438500,397000,479000,1314500,106156.692
Myanmar,406000,107000,0,513000,55227.143
Indonesia,395500,280000,400000,1075500,279134.505
Brazil,366500,395000,1340000,2101500,215353.593
Thailand,360850,138700,200000,699550,70078.203
Turkey,355200,156800,378700,890700,85561.976
Colombia,293200,187900,34950,516050,51512.762
Sri Lanka,255000,92600,5500,353100,21575.842
Japan,247150,14350,56000,317500,125584.838
Saudi Arabia,227000,24500,0,251500,35844.909
Mexico,216000,111900,81500,409400,131562.772
Ukraine,209000,102000,900000,1211000,43192.122
France,203250,130800,41050,375100,65584.518
Eritrea,201750,0,120000,321750,3662.244
Morocco,195800,50000,150000,395800,37772.756
Iraq,193000,148000,0,341000,42164.965
South Sudan,185000,0,0,185000,11618.511
Germany,183500,0,30050,213550,83883.596
Afghanistan,178800,99000,0,277800,40754.388
Israel,169500,8000,465000,642500,8922.892
Syria,169000,100000,0,269000,19364.809
Italy,165500,175750,18300,359550,60262.77
Bangladesh,163050,63900,0,226950,167885.689
Taiwan,163000,11800,1657000,1831800,23888.595
United Kingdom,148500,0,78600,227100,68497.907
Philippines,143100,62300,131000,336400,112508.994
Nigeria,143000,80000,0,223000,216746.934
Greece,142700,4000,221350,368050,10316.637
Ethiopia,138000,0,0,138000,120812.698
DR Congo,134250,0,0,134250,95240.792
Algeria,130000,187200,150000,467200,45350.148
Azerbaijan,126950,15000,330000,471950,10300.205
Cambodia,124300,67000,0,191300,17168.639
Venezuela,123000,220000,8000,351000,29266.991
Spain,120350,75800,15150,211300,46719.142
Poland,114050,75400,0,189450,37739.785
Malaysia,113000,267200,51600,431800,33181.072
Angola,107000,10000,0,117000,35027.343
Sudan,104300,105000,0,209300,45992.02
Jordan,100500,15000,65000,180500,10300.869
Nepal,96600,15000,0,111600,30225.582
Peru,81000,77000,188000,346000,33684.208
Chile,77200,44700,40000,161900,19250.195
Argentina,72100,31250,0,103350,46010.234
Romania,69300,57000,50000,176300,19031.335
Canada,67400,4500,35600,107500,38388.419
South Africa,65350,0,15050,80400,60756.135
United Arab Emirates,63000,0,0,63000,10081.785
Lebanon,60000,20000,0,80000,6684.849
Australia,58600,0,30100,88700,26068.792
Dominican Republic,56050,15000,0,71050,11056.37
Singapore,51000,7400,252500,310900,5943.546
Cuba,49000,1146500,39000,1234500,11305.652
Uzbekistan,48000,20000,0,68000,34382.084
Belarus,45350,110000,289500,444850,9432.8
Uganda,45000,1400,10000,56400,48432.863
Armenia,44800,4300,210000,259100,2971.966
Oman,42600,4400,0,47000,5323.993
Ecuador,40250,500,118000,158750,18113.361
Yemen,40000,0,0,40000,31154.867
Kazakhstan,39000,31500,0,70500,19205.043
Bulgaria,36950,0,3000,39950,6844.597
Turkmenistan,36500,5000,0,41500,6201.943
Tunisia,35800,12000,0,47800,12046.656
Netherlands,35400,5900,4500,45800,17211.447
Bolivia,34100,37100,0,71200,11992.656
Chad,33250,11900,0,45150,17413.58
Rwanda,33000,2000,0,35000,13600.464
Burundi,30050,21000,0,51050,12624.84
Sweden,29750,21200,0,50950,10218.971
Laos,29100,100000,0,129100,7481.023
Zimbabwe,29000,21800,0,50800,15331.428
Serbia,28150,3700,50150,82000,8653.016
Hungary,27800,12000,20000,59800,9606.259
Ivory Coast,27400,0,0,27400,27742.298
Portugal,27250,24700,211700,263650,10140.57
Tanzania,27000,1400,80000,108400,63298.55
Belgium,26300,0,5100,31400,11668.278
Cameroon,25400,9000,0,34400,27911.548
El Salvador,24500,17000,9900,51400,6550.389
Kenya,24100,5000,0,29100,56215.221
Finland,23800,14200,216000,254000,5554.96
Norway,23250,0,40000,63250,5511.37
Austria,22050,0,125600,147650,9066.71
Czech Republic,21750,0,0,21750,10736.784
Uruguay,21000,1400,0,22400,3496.016
Georgia,20650,5400,0,26050,3968.738
Lithuania,19850,14400,6700,40950,2661.708
Somalia,19800,0,0,19800,16841.795
Switzerland,19550,0,196450,216000,8773.637
Guatemala,18050,25000,63850,106900,18584.039
Kuwait,17500,7100,23700,48300,4380.326
Qatar,16500,5000,0,21500,2979.915
Slovakia,15850,0,0,15850,5460.193
Mauritania,15850,5000,0,20850,4901.981
Ghana,15500,0,0,15500,32395.45
Croatia,15200,3000,18350,36550,4059.286
Zambia,15100,1400,3000,19500,19470.234
Cyprus,15000,750,50000,65750,1223.387
Honduras,14950,8000,60000,82950,10221.247
Denmark,14500,0,44000,58500,5834.95
Paraguay,13950,14800,164500,193250,7305.843
Senegal,13600,5000,0,18600,17653.671
Madagascar,13500,8100,0,21600,29178.077
Mali,13000,7800,0,20800,21473.764
Nicaragua,12000,0,0,12000,6779.1
Mozambique,11200,0,0,11200,33089.461
Burkina Faso,11200,250,0,11450,22102.838
Kyrgyzstan,10900,9500,0,20400,6728.271
Malawi,10700,4200,0,14900,20180.839
Bosnia and Herzegovina,10500,0,0,10500,3249.317
Djibouti,10450,2650,0,13100,1016.097
Republic of the Congo,10000,2000,0,12000,5797.805
Namibia,9900,6000,0,15900,2633.874
Guinea,9700,2600,0,12300,13865.691
Mongolia,9700,7500,137000,154200,3378.078
Ireland,9500,0,4050,13550,5020.199
Central African Republic,9150,1000,0,10150,5016.678
Botswana,9000,0,0,9000,2441.162
New Zealand,9000,0,2300,11300,4898.203
Tajikistan,8800,7500,0,16300,9957.464
Togo,8550,750,0,9300,8680.837
Sierra Leone,8500,0,0,8500,8306.436
Bahrain,8200,11260,0,19460,1783.983
Albania,8000,0,0,8000,2866.374
North Macedonia,8000,7600,4850,20450,2081.304
Benin,7250,4800,0,12050,12784.726
Slovenia,7250,5950,1500,14700,2078.034
Brunei,7200,450,700,8350,445.431
Estonia,7100,0,17500,24600,1321.91
Latvia,6210,0,15900,22110,1848.837
Niger,5300,5400,0,10700,26083.66
Moldova,5150,900,58000,64050,4013.171
Gabon,4700,2000,0,6700,2331.533
Guinea-Bissau,4450,0,0,4450,2063.367
Trinidad and Tobago,4050,0,0,4050,1406.585
Jamaica,3950,0,980,4930,2985.094
Papua New Guinea,3600,0,0,3600,9292.169
Fiji,3500,0,6000,9500,909.466
Guyana,3400,0,670,4070,794.045
Montenegro,2350,10100,0,12450,627.95
Liberia,2010,0,0,2010,5305.117
Lesotho,2000,0,0,2000,2175.699
Malta,1950,0,180,2130,444.033
Suriname,1840,0,0,1840,596.831
Belize,1500,150,700,2350,412.19
Equatorial Guinea,1450,0,0,1450,1496.662
Bahamas,1300,0,0,1300,400.516
Cape Verde,1200,0,0,1200,567.678
Luxembourg,900,600,0,1500,642.371
Gambia,800,0,0,800,2558.482
Barbados,610,0,430,1040,288.023
Seychelles,420,0,0,420,99.426
Antigua and Barbuda,180,0,80,260,99.509
Haiti,150,50,0,200,11680.283
Iceland,0,250,0,250,345.393
Mauritius,0,2550,0,2550,1274.727
Costa Rica,0,9800,0,9800,5182.354
Panama,0,26000,0,26000,4446.964
